category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	set_label	n_input_symbols	n_mapped_proteins
PMID	PMID:27939672	4	33	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	GZMK,CCR7,LEF1,IL7R	2.52e-08	0.0015	(2016) Dynamic Changes in Chromatin Accessibility Occur in CD8(+) T Cells Responding to Viral Infection.	Down	17	17
PMID	PMID:19104654	5	100	9606	9606.ENSP00000231009,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000376544,9606.ENSP00000398655	GZMK,IL7R,CD6,CD79B,ITK	2.37e-08	0.0015	(2008) TranscriptomeBrowser: a powerful and flexible toolbox to explore productively the transcriptional landscape of the Gene Expression Omnibus database.	Down	17	17
PMID	PMID:35250958	4	34	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,CCR7,IL7R,CD79B	2.82e-08	0.0016	(2022) The Dynamic Change of Immune Responses Between Acute and Recurrence Stages of Rodent Malaria Infection.	Down	17	17
PMID	PMID:32479746	5	103	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	CD79A,GZMK,CCR7,LEF1,IL7R	2.73e-08	0.0016	(2020) Host-Viral Infection Maps Reveal Signatures of Severe COVID-19 Patients.	Down	17	17
PMID	PMID:31604482	4	34	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157	CD79A,GZMK,CCR7,IL7R	2.82e-08	0.0016	(2019) MetaCell: analysis of single-cell RNA-seq data using K-nn graph partitions.	Down	17	17
PMID	PMID:26556806	4	34	9606	9606.ENSP00000221972,9606.ENSP00000265165,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,LEF1,CD79B,ITK	2.82e-08	0.0016	(2015) Novel Pathways Revealed in Bursa of Fabricius Transcriptome in Response to Extraintestinal Pathogenic Escherichia coli (ExPEC) Infection.	Down	17	17
PMID	PMID:23712431	4	34	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CCR7,LEF1,IL7R,ID3	2.82e-08	0.0016	(2013) Differentiation of CD8 memory T cells depends on Foxo1.	Down	17	17
PMID	PMID:34941990	4	35	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000323280,9606.ENSP00000398655	CD79A,GZMK,CD6,ITK	3.14e-08	0.0017	(2022) Checkpoint protein expression in the tumor microenvironment defines the outcome of classical Hodgkin lymphoma patients.	Down	17	17
PMID	PMID:32251269	4	35	9606	9606.ENSP00000231009,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000398655	GZMK,IL7R,CD6,ITK	3.14e-08	0.0017	(2020) Identification of Genes with Prognostic Value in the Breast Cancer Microenvironment Using Bioinformatics Analysis.	Down	17	17
PMID	PMID:23797092	4	35	9606	9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000363689,9606.ENSP00000398655	CCR7,IL7R,ID3,ITK	3.14e-08	0.0017	(2013) Shp1 regulates T cell homeostasis by limiting IL-4 signals.	Down	17	17
PMID	PMID:7961773	3	5	9606	9606.ENSP00000221972,9606.ENSP00000248948,9606.ENSP00000376544	CD79A,VPREB3,CD79B	3.03e-08	0.0017	(1994) Molecular components and assembly of mu.surrogate light chain complexes in pre-B cell lines.	Down	17	17
PMID	PMID:35095832	5	108	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	CD79A,GZMK,CCR7,LEF1,IL7R	3.43e-08	0.0018	(2021) Communication Pattern Changes Along With Declined IGF1 of Immune Cells in COVID-19 Patients During Disease Progression.	Down	17	17
PMID	PMID:32759967	4	36	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,CCR7,IL7R,CD79B	3.48e-08	0.0018	(2020) Dysregulated adaptive immune response contributes to severe COVID-19.	Down	17	17
PMID	PMID:33101705	5	109	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000364080	CD79A,GZMK,CCR7,IL7R,HLA-DQB1	3.58e-08	0.0018	(2020) The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing.	Down	17	17
PMID	PMID:33177245	4	36	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000398655	CD79A,CCR7,IL7R,ITK	3.48e-08	0.0018	(2020) TCGA and ESTIMATE data mining to identify potential prognostic biomarkers in HCC patients.	Down	17	17
PMID	PMID:34830356	4	37	9606	9606.ENSP00000221972,9606.ENSP00000306157,9606.ENSP00000364080,9606.ENSP00000376544	CD79A,IL7R,HLA-DQB1,CD79B	3.86e-08	0.0019	(2021) Chemical Exposures Affect Innate Immune Response to SARS-CoV-2.	Down	17	17
PMID	PMID:33171100	5	111	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000364080	GZMK,CCR7,LEF1,IL7R,HLA-DQB1	3.91e-08	0.0019	(2020) Multi-Omics Resolves a Sharp Disease-State Shift between Mild and Moderate COVID-19.	Down	17	17
PMID	PMID:28480897	4	37	9606	9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000363689,9606.ENSP00000398655	CCR7,IL7R,ID3,ITK	3.86e-08	0.0019	(2017) Antigen-inexperienced memory CD8(+) T cells: where they come from and why we need them.	Down	17	17
PMID	PMID:35118163	4	38	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CCR7,LEF1,IL7R,ID3	4.26e-08	0.0021	(2022) Accelerating clinical-scale production of BCMA CAR T cells with defined maturation stages.	Down	17	17
PMID	PMID:35141222	4	38	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000323280	GZMK,CCR7,LEF1,CD6	4.26e-08	0.0021	(2022) Mapk14 is a Prognostic Biomarker and Correlates with the Clinicopathological Features and Immune Infiltration of Colorectal Cancer.	Down	17	17
PMID	PMID:36561317	3	6	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157	CD79A,CCR7,IL7R	4.55e-08	0.0021	(2022) Identification of key genes in late-onset major depressive disorder through a co-expression network module.	Down	17	17
PMID	PMID:33771991	5	115	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,LEF1,IL7R,ID3	4.64e-08	0.0021	(2021) Single-cell analyses of Crohns disease tissues reveal intestinal intraepithelial T cells heterogeneity and altered subset distributions.	Down	17	17
PMID	PMID:32313720	4	38	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	GZMK,CCR7,LEF1,IL7R	4.26e-08	0.0021	(2020) Deciphering the transcriptomic landscape of tumor-infiltrating CD8 lymphocytes in B16 melanoma tumors with single-cell RNA-Seq.	Down	17	17
PMID	PMID:29925930	4	39	9606	9606.ENSP00000231009,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000398655	GZMK,IL7R,CD6,ITK	4.7e-08	0.0021	(2019) Elevated T cell levels in peripheral blood predict poor clinical response following rituximab treatment in new-onset type 1 diabetes.	Down	17	17
PMID	PMID:30778252	4	38	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CCR7,LEF1,IL7R,ID3	4.26e-08	0.0021	(2019) Subsets of exhausted CD8(+) T cells differentially mediate tumor control and respond to checkpoint blockade.	Down	17	17
PMID	PMID:30589870	4	39	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000398655	GZMK,CCR7,LEF1,ITK	4.7e-08	0.0021	(2018) The effect of antiretroviral treatment on selected genes in whole blood from HIV-infected adults sensitised by Mycobacterium tuberculosis.	Down	17	17
PMID	PMID:28218746	4	39	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CCR7,LEF1,IL7R,ID3	4.7e-08	0.0021	(2017) Early transcriptional and epigenetic regulation of CD8(+) T cell differentiation revealed by single-cell RNA sequencing.	Down	17	17
PMID	PMID:25539926	5	113	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000363689,9606.ENSP00000398655	GZMK,CCR7,LEF1,ID3,ITK	4.26e-08	0.0021	(2015) Regulation of the transcriptional program by DNA methylation during human alphabeta T-cell development.	Down	17	17
PMID	PMID:22464097	4	38	9606	9606.ENSP00000221972,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,LEF1,IL7R,CD79B	4.26e-08	0.0021	(2012) Expression of essential B cell development genes in horses with common variable immunodeficiency.	Down	17	17
PMID	PMID:18485203	5	115	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000364080,9606.ENSP00000367013	GZMK,CCR7,IL7R,HLA-DQB1,TNFRSF25	4.64e-08	0.0021	(2008) Comparative analysis of transcriptional profiling of CD3+, CD4+ and CD8+ T cells identifies novel immune response players in T-cell activation.	Down	17	17
PMID	PMID:29855199	4	40	9606	9606.ENSP00000221972,9606.ENSP00000363689,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,ID3,CD79B,ITK	5.16e-08	0.0022	(2018) Targeting the B cell receptor pathway in non-Hodgkin lymphoma.	Down	17	17
PMID	PMID:26586434	4	40	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,IL7R,ID3	5.16e-08	0.0022	(2015) Adenoviral Vector Vaccination Induces a Conserved Program of CD8(+) T Cell Memory Differentiation in Mouse and Man.	Down	17	17
PMID	PMID:33572793	4	41	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CCR7,LEF1,IL7R,ID3	5.66e-08	0.0023	(2021) The Potential of T Cell Factor 1 in Sustaining CD8(+) T Lymphocyte-Directed Anti-Tumor Immunity.	Down	17	17
RCTM	HSA-5690714	2	6	9606	9606.ENSP00000221972,9606.ENSP00000376544	CD79A,CD79B	1.98e-05	0.043	CD22 mediated BCR regulation	Down	17	17
HPO	HP:0032101	4	132	9606	9606.ENSP00000221972,9606.ENSP00000306157,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,IL7R,CD79B,ITK	4.94e-06	0.049	Unusual infection	Down	17	17
NetworkNeighborAL	CL:15904	3	38	9606	9606.ENSP00000221972,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CD79B,ITK	5.68e-06	0.0258	Mixed, incl. Generation of second messenger molecules, and Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	Down	17	17
NetworkNeighborAL	CL:15956	2	5	9606	9606.ENSP00000221972,9606.ENSP00000376544	CD79A,CD79B	1.49e-05	0.0266	CD22 mediated BCR regulation	Down	17	17
